,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
228,2948,230,3212.0,3212.0,675092
229,2948,231,3212.0,3212.0,678040
230,2948,232,3212.0,3212.0,680988
231,2948,233,3212.0,3212.0,683936
232,2948,234,3212.0,3212.0,686884
233,2948,235,3212.0,3212.0,689832
234,2948,236,3212.0,3212.0,692780
235,2948,237,3212.0,3212.0,695728
236,2948,238,3212.0,3212.0,698676
237,2948,239,3212.0,3212.0,701624
238,2948,240,3212.0,3212.0,704572
239,2948,241,3212.0,3212.0,707520
240,2948,242,3212.0,3212.0,710468
241,2948,243,3212.0,3212.0,713416
242,2948,244,3212.0,3212.0,716364
243,2948,245,3212.0,3212.0,719312
244,2948,246,3212.0,3212.0,722260
245,2948,247,3212.0,3212.0,725208
246,2948,248,3212.0,3212.0,728156
247,2948,249,3212.0,3212.0,731104
248,2948,250,3212.0,3212.0,734052
249,2948,251,3212.0,3212.0,737000
250,2948,252,3212.0,3212.0,739948
251,2948,253,3212.0,3212.0,742896
252,2948,254,3212.0,3212.0,745844
253,2948,255,3212.0,3212.0,748792
254,2948,256,3212.0,3212.0,751740
255,2948,257,3212.0,3212.0,754688
256,2948,258,3212.0,3212.0,757636
257,2948,259,3212.0,3212.0,760584
258,2948,260,3212.0,3212.0,763532
259,2948,261,3212.0,3212.0,766480
260,2948,262,3212.0,3212.0,769428
261,2948,263,3212.0,3212.0,772376
262,2948,264,3212.0,3212.0,775324
263,2948,265,3212.0,3212.0,778272
264,2948,266,3212.0,3212.0,781220
265,2948,267,3212.0,3212.0,784168
266,2948,268,3212.0,3212.0,787116
267,2948,269,3212.0,3212.0,790064
268,2948,270,3212.0,3212.0,793012
269,2948,271,3212.0,3212.0,795960
270,2948,272,3212.0,3212.0,798908
271,2948,273,3212.0,3212.0,801856
272,2948,274,3212.0,3212.0,804804
273,2948,275,3212.0,3212.0,807752
274,2948,276,3212.0,3212.0,810700
275,2948,277,3212.0,3212.0,813648
276,2948,278,3212.0,3212.0,816596
277,2948,279,3212.0,3212.0,819544
278,2948,280,3212.0,3212.0,822492
279,2948,281,3212.0,3212.0,825440
280,2948,282,3212.0,3212.0,828388
281,2948,283,3212.0,3212.0,831336
282,2948,284,3212.0,3212.0,834284
283,2948,285,3212.0,3212.0,837232
284,2948,286,3212.0,3212.0,840180
285,2948,287,3212.0,3212.0,843128
286,2948,288,3212.0,3212.0,846076
287,2948,289,3212.0,3212.0,849024
288,2948,290,3212.0,3212.0,851972
289,2948,291,3212.0,3212.0,854920
290,2948,292,3212.0,3212.0,857868
291,2948,293,3212.0,3212.0,860816
292,2948,294,3212.0,3212.0,863764
293,2948,295,3212.0,3212.0,866712
294,2948,296,3212.0,3212.0,869660
295,2948,297,3212.0,3212.0,872608
296,2948,298,3212.0,3212.0,875556
297,2948,299,3212.0,3212.0,878504
298,2948,300,3212.0,3212.0,881452
299,2948,301,3212.0,3212.0,884400
300,2948,302,3212.0,3212.0,887348
301,2948,303,3212.0,3212.0,890296
302,2948,304,3212.0,3212.0,893244
303,2948,305,3212.0,3212.0,896192
304,2948,306,3212.0,3212.0,899140
305,2948,307,3212.0,3212.0,902088
306,2948,308,3212.0,3212.0,905036
307,2948,309,3212.0,3212.0,907984
308,2948,310,3212.0,3212.0,910932
309,2948,311,3212.0,3212.0,913880
310,2948,312,3212.0,3212.0,916828
311,2948,313,3212.0,3212.0,919776
312,2948,314,3212.0,3212.0,922724
313,2948,315,3212.0,3212.0,925672
314,2948,316,3212.0,3212.0,928620
315,2948,317,3212.0,3212.0,931568
316,2948,318,3212.0,3212.0,934516
317,2948,319,3212.0,3212.0,937464
318,2948,320,3212.0,3212.0,940412
319,2948,321,3212.0,3212.0,943360
320,2948,322,3212.0,3212.0,946308
321,2948,323,3212.0,3212.0,949256
322,2948,324,3212.0,3212.0,952204
323,2948,325,3212.0,3212.0,955152
324,2948,326,3212.0,3212.0,958100
325,2948,327,3212.0,3212.0,961048
326,2948,328,3212.0,3212.0,963996
327,2948,329,3212.0,3212.0,966944
328,2948,330,3212.0,3212.0,969892
329,2948,331,3212.0,3212.0,972840
330,2948,332,3212.0,3212.0,975788
331,2948,333,3212.0,3212.0,978736
332,2948,334,3212.0,3212.0,981684
333,2948,335,3212.0,3212.0,984632
334,2948,336,3212.0,3212.0,987580
335,2948,337,3212.0,3212.0,990528
336,2948,338,3212.0,3212.0,993476
337,2948,339,3212.0,3212.0,996424
338,2948,340,3212.0,3212.0,999372
339,2948,341,3212.0,3212.0,1002320
340,2948,342,3212.0,3212.0,1005268
341,2948,343,3212.0,3212.0,1008216
342,2948,344,3212.0,3212.0,1011164
343,2948,345,3212.0,3212.0,1014112
344,2948,346,3212.0,3212.0,1017060
345,2948,347,3212.0,3212.0,1020008
346,2948,348,3212.0,3212.0,1022956
347,2948,349,3212.0,3212.0,1025904
348,2948,350,3212.0,3212.0,1028852
349,2948,351,3212.0,3212.0,1031800
350,2948,352,3212.0,3212.0,1034748
351,2948,353,3212.0,3212.0,1037696
352,2948,354,3212.0,3212.0,1040644
353,2948,355,3212.0,3212.0,1043592
354,2948,356,3212.0,3212.0,1046540
355,2948,357,3212.0,3212.0,1049488
356,2948,358,3212.0,3212.0,1052436
357,2948,359,3212.0,3212.0,1055384
358,2948,360,3212.0,3212.0,1058332
359,2948,361,3212.0,3212.0,1061280
360,2948,362,3212.0,3212.0,1064228
361,2948,363,3212.0,3212.0,1067176
362,2948,364,3212.0,3212.0,1070124
363,2948,365,3212.0,3212.0,1073072
364,2948,366,3212.0,3212.0,1076020
365,2948,367,3212.0,3212.0,1078968
366,2948,368,3212.0,3212.0,1081916
367,2948,369,3212.0,3212.0,1084864
368,2948,370,3212.0,3212.0,1087812
369,2948,371,3212.0,3212.0,1090760
370,2948,372,3212.0,3212.0,1093708
371,2948,373,3212.0,3212.0,1096656
372,2948,374,3212.0,3212.0,1099604
373,2948,375,3212.0,3212.0,1102552
374,2948,376,3212.0,3212.0,1105500
375,2948,377,3212.0,3212.0,1108448
376,2948,378,3212.0,3212.0,1111396
377,2948,379,3212.0,3212.0,1114344
378,2948,380,3212.0,3212.0,1117292
379,2948,381,3212.0,3212.0,1120240
380,2948,382,3212.0,3212.0,1123188
381,2948,383,3212.0,3212.0,1126136
382,2948,384,3212.0,3212.0,1129084
383,2948,385,3212.0,3212.0,1132032
384,2948,386,3212.0,3212.0,1134980
385,2948,387,3212.0,3212.0,1137928
386,2948,388,3212.0,3212.0,1140876
387,2948,389,3212.0,3212.0,1143824
388,2948,390,3212.0,3212.0,1146772
389,2948,391,3212.0,3212.0,1149720
390,2948,392,3212.0,3212.0,1152668
391,2948,393,3212.0,3212.0,1155616
392,2948,394,3212.0,3212.0,1158564
393,2948,395,3212.0,3212.0,1161512
394,2948,396,3212.0,3212.0,1164460
395,2948,397,3212.0,3212.0,1167408
396,2948,398,3212.0,3212.0,1170356
397,2948,399,3212.0,3212.0,1173304
398,2948,400,3212.0,3212.0,1176252
399,2948,401,3212.0,3212.0,1179200
400,2948,402,3212.0,3212.0,1182148
401,2948,403,3212.0,3212.0,1185096
402,2948,404,3212.0,3212.0,1188044
403,2948,405,3212.0,3212.0,1190992
404,2948,406,3212.0,3212.0,1193940
405,2948,407,3212.0,3212.0,1196888
406,2948,408,3212.0,3212.0,1199836
407,2948,409,3212.0,3212.0,1202784
408,2948,410,3212.0,3212.0,1205732
409,2948,411,3212.0,3212.0,1208680
410,2948,412,3212.0,3212.0,1211628
411,2948,413,3212.0,3212.0,1214576
412,2948,414,3212.0,3212.0,1217524
413,2948,415,3212.0,3212.0,1220472
414,2948,416,3212.0,3212.0,1223420
415,2948,417,3212.0,3212.0,1226368
416,2948,418,3212.0,3212.0,1229316
417,2948,419,3212.0,3212.0,1232264
418,2948,420,3212.0,3212.0,1235212
419,2948,421,3212.0,3212.0,1238160
420,2948,422,3212.0,3212.0,1241108
421,2948,423,3212.0,3212.0,1244056
422,2948,424,3212.0,3212.0,1247004
423,2948,425,3212.0,3212.0,1249952
424,2948,426,3212.0,3212.0,1252900
425,2948,427,3212.0,3212.0,1255848
426,2948,428,3212.0,3212.0,1258796
427,2948,429,3212.0,3212.0,1261744
428,2948,430,3212.0,3212.0,1264692
429,2948,431,3212.0,3212.0,1267640
430,2948,432,3212.0,3212.0,1270588
431,2948,433,3212.0,3212.0,1273536
432,2948,434,3212.0,3212.0,1276484
433,2948,435,3212.0,3212.0,1279432
434,2948,436,3212.0,3212.0,1282380
435,2948,437,3212.0,3212.0,1285328
436,2948,438,3212.0,3212.0,1288276
437,2948,439,3212.0,3212.0,1291224
438,2948,440,3212.0,3212.0,1294172
439,2948,441,3212.0,3212.0,1297120
440,2948,442,3212.0,3212.0,1300068
441,2948,443,3212.0,3212.0,1303016
442,2948,444,3212.0,3212.0,1305964
443,2948,445,3212.0,3212.0,1308912
444,2948,446,3212.0,3212.0,1311860
445,2948,447,3212.0,3212.0,1314808
446,2948,448,3212.0,3212.0,1317756
447,2948,449,3212.0,3212.0,1320704
448,2948,450,3212.0,3212.0,1323652
449,2948,451,3212.0,3212.0,1326600
450,2948,452,3212.0,3212.0,1329548
451,2948,453,3212.0,3212.0,1332496
452,2948,454,3212.0,3212.0,1335444
453,2948,455,3212.0,3212.0,1338392
454,2948,456,3212.0,3212.0,1341340
455,2948,457,3212.0,3212.0,1344288
456,2948,458,3212.0,3212.0,1347236
457,2948,459,3212.0,3212.0,1350184
458,2948,460,3212.0,3212.0,1353132
459,2948,461,3212.0,3212.0,1356080
460,2948,462,3212.0,3212.0,1359028
461,2948,463,3212.0,3212.0,1361976
462,2948,464,3212.0,3212.0,1364924
463,2948,465,3212.0,3212.0,1367872
464,2948,466,3212.0,3212.0,1370820
465,2948,467,3212.0,3212.0,1373768
466,2948,468,3212.0,3212.0,1376716
467,2948,469,3212.0,3212.0,1379664
468,2948,470,3212.0,3212.0,1382612
469,2948,471,3212.0,3212.0,1385560
470,2948,472,3212.0,3212.0,1388508
471,2948,473,3212.0,3212.0,1391456
472,2948,474,3212.0,3212.0,1394404
473,2948,475,3212.0,3212.0,1397352
474,2948,476,3212.0,3212.0,1400300
475,2948,477,3212.0,3212.0,1403248
476,2948,478,3212.0,3212.0,1406196
477,2948,479,3212.0,3212.0,1409144
478,2948,480,3212.0,3212.0,1412092
479,2948,481,3212.0,3212.0,1415040
480,2948,482,3212.0,3212.0,1417988
481,2948,483,3212.0,3212.0,1420936
482,2948,484,3212.0,3212.0,1423884
483,2948,485,3212.0,3212.0,1426832
484,2948,486,3212.0,3212.0,1429780
485,2948,487,3212.0,3212.0,1432728
486,2948,488,3212.0,3212.0,1435676
487,2948,489,3212.0,3212.0,1438624
488,2948,490,3212.0,3212.0,1441572
489,2948,491,3212.0,3212.0,1444520
490,2948,492,3212.0,3212.0,1447468
491,2948,493,3212.0,3212.0,1450416
492,2948,494,3212.0,3212.0,1453364
493,2948,495,3212.0,3212.0,1456312
494,2948,496,3212.0,3212.0,1459260
495,2948,497,3212.0,3212.0,1462208
496,2948,498,3212.0,3212.0,1465156
497,2948,499,3212.0,3212.0,1468104
498,2948,500,3212.0,3212.0,1471052
499,2948,501,3212.0,3212.0,1474000
